spot,sampleTime,name,value
Achara,2016/5/13,Macrozoobenthos,2.37
Achara,2016/9/16,Macrozoobenthos,2.37
Boonsri,1998/1/11,Macrozoobenthos,0
Boonsri,1998/2/15,Macrozoobenthos,0
Boonsri,1998/3/12,Macrozoobenthos,2.02
Boonsri,1998/4/11,Macrozoobenthos,1.045
Boonsri,1998/5/9,Macrozoobenthos,0
Boonsri,1998/6/6,Macrozoobenthos,0
Boonsri,1998/7/11,Macrozoobenthos,0
Boonsri,1998/8/8,Macrozoobenthos,0
Boonsri,1998/9/5,Macrozoobenthos,0
Boonsri,1998/10/3,Macrozoobenthos,2.095
Boonsri,1998/11/7,Macrozoobenthos,0
Boonsri,1998/12/5,Macrozoobenthos,0
Boonsri,1999/3/11,Macrozoobenthos,1.833333333
Boonsri,1999/4/16,Macrozoobenthos,1.996666667
Boonsri,1999/5/13,Macrozoobenthos,1.733333333
Boonsri,1999/7/22,Macrozoobenthos,1.666666667
Boonsri,1999/9/16,Macrozoobenthos,1.8
Boonsri,1999/11/5,Macrozoobenthos,1.9
Boonsri,1999/12/9,Macrozoobenthos,1.75
Boonsri,2000/1/14,Macrozoobenthos,1.75
Boonsri,2000/2/10,Macrozoobenthos,1.9
Boonsri,2000/3/10,Macrozoobenthos,1.8
Boonsri,2000/4/14,Macrozoobenthos,1.8
Boonsri,2000/5/12,Macrozoobenthos,1.866666667
Boonsri,2000/6/9,Macrozoobenthos,1.8
Boonsri,2000/7/14,Macrozoobenthos,1.833333333
Boonsri,2000/8/17,Macrozoobenthos,1.973333333
Boonsri,2000/9/8,Macrozoobenthos,1.866666667
Boonsri,2000/10/6,Macrozoobenthos,2
Boonsri,2000/11/10,Macrozoobenthos,2.056666667
Boonsri,2000/12/8,Macrozoobenthos,1.633333333
Boonsri,2001/1/20,Macrozoobenthos,1.89
Boonsri,2001/3/10,Macrozoobenthos,1.89
Boonsri,2001/5/4,Macrozoobenthos,1.676666667
Boonsri,2001/6/6,Macrozoobenthos,2.01
Boonsri,2001/7/27,Macrozoobenthos,1.85
Boonsri,2001/8/4,Macrozoobenthos,2.01
Boonsri,2001/9/14,Macrozoobenthos,1.683333333
Boonsri,2003/11/13,Macrozoobenthos,1.6
Boonsri,2003/12/4,Macrozoobenthos,1.616666667
Boonsri,2004/3/12,Macrozoobenthos,1.766666667
Boonsri,2004/5/7,Macrozoobenthos,1.9
Boonsri,2004/5/28,Macrozoobenthos,1.866666667
Boonsri,2004/6/11,Macrozoobenthos,1.936666667
Boonsri,2004/7/9,Macrozoobenthos,1.923333333
Boonsri,2004/8/13,Macrozoobenthos,1.956666667
Boonsri,2004/9/10,Macrozoobenthos,1.943333333
Boonsri,2004/9/24,Macrozoobenthos,1.6
Boonsri,2004/10/8,Macrozoobenthos,1.933333333
Boonsri,2004/10/22,Macrozoobenthos,1.833333333
Boonsri,2004/11/5,Macrozoobenthos,1.986666667
Boonsri,2004/11/26,Macrozoobenthos,1.866666667
Boonsri,2004/12/3,Macrozoobenthos,2
Boonsri,2005/1/14,Macrozoobenthos,1.9
Boonsri,2005/1/28,Macrozoobenthos,1.823333333
Boonsri,2005/2/11,Macrozoobenthos,1.93
Boonsri,2005/2/24,Macrozoobenthos,1.84
Boonsri,2005/3/11,Macrozoobenthos,1.9
Boonsri,2005/3/25,Macrozoobenthos,1.793333333
Boonsri,2005/4/8,Macrozoobenthos,1.9
Boonsri,2005/4/22,Macrozoobenthos,1.823333333
Boonsri,2005/5/13,Macrozoobenthos,1.896666667
Boonsri,2005/5/27,Macrozoobenthos,1.896666667
Boonsri,2005/6/10,Macrozoobenthos,1.91
Boonsri,2005/6/24,Macrozoobenthos,1.843333333
Boonsri,2005/7/8,Macrozoobenthos,1.993333333
Boonsri,2005/7/22,Macrozoobenthos,2.036666667
Boonsri,2005/8/12,Macrozoobenthos,1.91
Boonsri,2005/8/26,Macrozoobenthos,1.916666667
Boonsri,2005/9/9,Macrozoobenthos,2
Boonsri,2005/9/23,Macrozoobenthos,2.01
Boonsri,2005/10/2,Macrozoobenthos,1.956666667
Boonsri,2005/10/21,Macrozoobenthos,1.97
Boonsri,2005/11/6,Macrozoobenthos,1.916666667
Boonsri,2005/11/25,Macrozoobenthos,1.966666667
Boonsri,2005/12/2,Macrozoobenthos,1.9
Boonsri,2005/12/16,Macrozoobenthos,1.833333333
Boonsri,2006/1/27,Macrozoobenthos,1.883333333
Boonsri,2006/2/10,Macrozoobenthos,1.866666667
Boonsri,2006/2/24,Macrozoobenthos,1.99
Boonsri,2006/3/9,Macrozoobenthos,1.903333333
Boonsri,2006/3/23,Macrozoobenthos,1.891666667
Boonsri,2006/4/6,Macrozoobenthos,1.916666667
Boonsri,2006/5/3,Macrozoobenthos,1.946666667
Boonsri,2006/5/25,Macrozoobenthos,1.966666667
Boonsri,2006/6/8,Macrozoobenthos,1.933333333
Boonsri,2006/6/22,Macrozoobenthos,1.913333333
Boonsri,2006/7/13,Macrozoobenthos,1.906666667
Boonsri,2006/7/27,Macrozoobenthos,1.85
Boonsri,2006/8/10,Macrozoobenthos,1.86
Boonsri,2006/8/24,Macrozoobenthos,2.026666667
Boonsri,2006/9/7,Macrozoobenthos,1.913333333
Boonsri,2006/9/21,Macrozoobenthos,2.016666667
Boonsri,2006/10/12,Macrozoobenthos,1.8
Boonsri,2006/10/26,Macrozoobenthos,1.9
Boonsri,2006/11/9,Macrozoobenthos,1.966666667
Boonsri,2006/11/23,Macrozoobenthos,1.81
Boonsri,2006/12/7,Macrozoobenthos,1.86
Boonsri,2006/12/21,Macrozoobenthos,1.92
Boonsri,2007/1/11,Macrozoobenthos,1.74
Boonsri,2007/1/25,Macrozoobenthos,1.816666667
Boonsri,2007/2/8,Macrozoobenthos,1.87
Boonsri,2007/2/22,Macrozoobenthos,1.866666667
Boonsri,2007/3/9,Macrozoobenthos,1.733333333
Boonsri,2007/3/22,Macrozoobenthos,1.736666667
Boonsri,2007/4/6,Macrozoobenthos,1.8
Boonsri,2007/4/19,Macrozoobenthos,1.92
Boonsri,2007/5/10,Macrozoobenthos,1.836666667
Boonsri,2007/5/24,Macrozoobenthos,1.863333333
Boonsri,2007/6/7,Macrozoobenthos,1.796666667
Boonsri,2007/6/21,Macrozoobenthos,1.826666667
Boonsri,2007/7/5,Macrozoobenthos,1.8
Boonsri,2007/8/23,Macrozoobenthos,1.846666667
Boonsri,2007/9/20,Macrozoobenthos,1.833333333
Boonsri,2007/11/22,Macrozoobenthos,1.82
Boonsri,2007/12/20,Macrozoobenthos,1.83
Boonsri,2008/2/21,Macrozoobenthos,1.91
Boonsri,2008/5/16,Macrozoobenthos,1.86
Boonsri,2008/8/28,Macrozoobenthos,1.94
Boonsri,2008/10/17,Macrozoobenthos,1.843333333
Boonsri,2009/3/19,Macrozoobenthos,2.05
Boonsri,2009/9/9,Macrozoobenthos,2.176666667
Boonsri,2010/4/22,Macrozoobenthos,2.04
Boonsri,2010/7/24,Macrozoobenthos,2.026666667
Boonsri,2010/9/25,Macrozoobenthos,2.063333333
Boonsri,2011/7/20,Macrozoobenthos,1.903333333
Boonsri,2012/4/15,Macrozoobenthos,2.13
Busarakhan,1998/10/29,Macrozoobenthos,2
Busarakhan,1998/11/28,Macrozoobenthos,1.8
Busarakhan,1998/12/19,Macrozoobenthos,0
Busarakhan,1999/1/27,Macrozoobenthos,1.98
Busarakhan,1999/2/20,Macrozoobenthos,2.5
Busarakhan,1999/3/19,Macrozoobenthos,2.11
Busarakhan,1999/5/27,Macrozoobenthos,2.11
Busarakhan,1999/7/24,Macrozoobenthos,2.16
Busarakhan,1999/9/18,Macrozoobenthos,2.14
Busarakhan,1999/11/20,Macrozoobenthos,2
Busarakhan,1999/12/10,Macrozoobenthos,2.09
Busarakhan,2000/1/15,Macrozoobenthos,2.17
Busarakhan,2000/2/19,Macrozoobenthos,2.35
Busarakhan,2000/3/19,Macrozoobenthos,2.11
Busarakhan,2000/4/29,Macrozoobenthos,2.12
Busarakhan,2000/5/27,Macrozoobenthos,2.29
Busarakhan,2000/6/26,Macrozoobenthos,2.1
Busarakhan,2000/7/28,Macrozoobenthos,2.08
Busarakhan,2000/8/28,Macrozoobenthos,2.15
Busarakhan,2000/9/24,Macrozoobenthos,2.25
Busarakhan,2000/10/18,Macrozoobenthos,2.15
Busarakhan,2000/11/24,Macrozoobenthos,2.18
Busarakhan,2000/12/4,Macrozoobenthos,1.95
Busarakhan,2001/1/17,Macrozoobenthos,1.9
Busarakhan,2001/2/18,Macrozoobenthos,2.37
Busarakhan,2001/3/31,Macrozoobenthos,2.05
Busarakhan,2001/5/28,Macrozoobenthos,2.09
Busarakhan,2001/6/21,Macrozoobenthos,2.1
Busarakhan,2001/7/28,Macrozoobenthos,2.25
Busarakhan,2001/8/28,Macrozoobenthos,2.1
Busarakhan,2001/9/23,Macrozoobenthos,2.3
Busarakhan,2003/1/24,Macrozoobenthos,2.2
Busarakhan,2003/2/28,Macrozoobenthos,2.09
Busarakhan,2003/6/28,Macrozoobenthos,2.13
Busarakhan,2003/7/12,Macrozoobenthos,2.07
Busarakhan,2003/8/20,Macrozoobenthos,2.1
Busarakhan,2003/9/16,Macrozoobenthos,2.04
Busarakhan,2004/2/14,Macrozoobenthos,2.26
Busarakhan,2004/5/30,Macrozoobenthos,2.15
Busarakhan,2005/1/22,Macrozoobenthos,1.94
Busarakhan,2005/2/20,Macrozoobenthos,2.076
Busarakhan,2005/3/24,Macrozoobenthos,2.18
Busarakhan,2005/4/24,Macrozoobenthos,2
Busarakhan,2005/5/29,Macrozoobenthos,2.1
Busarakhan,2005/6/21,Macrozoobenthos,2
Busarakhan,2005/7/24,Macrozoobenthos,2.08
Busarakhan,2005/8/26,Macrozoobenthos,2.33
Busarakhan,2005/10/23,Macrozoobenthos,2.12
Busarakhan,2005/11/24,Macrozoobenthos,2.37
Busarakhan,2006/2/25,Macrozoobenthos,2.458
Busarakhan,2006/3/23,Macrozoobenthos,2.183
Busarakhan,2006/4/27,Macrozoobenthos,2.37
Busarakhan,2006/5/31,Macrozoobenthos,2.35
Busarakhan,2006/6/25,Macrozoobenthos,2.15
Busarakhan,2006/7/16,Macrozoobenthos,2.04
Busarakhan,2006/8/13,Macrozoobenthos,2.29
Busarakhan,2006/10/6,Macrozoobenthos,2.18
Busarakhan,2006/11/22,Macrozoobenthos,2.2
Busarakhan,2006/12/13,Macrozoobenthos,2
Busarakhan,2007/1/24,Macrozoobenthos,2.41
Busarakhan,2007/2/22,Macrozoobenthos,2.42
Busarakhan,2007/3/28,Macrozoobenthos,2.42
Busarakhan,2007/4/20,Macrozoobenthos,2.12
Chai,1998/1/31,Macrozoobenthos,0
Chai,1998/2/20,Macrozoobenthos,0
Chai,1998/3/19,Macrozoobenthos,0.67
Chai,1998/4/17,Macrozoobenthos,1.953333333
Chai,1998/5/20,Macrozoobenthos,2.07
Chai,1998/6/28,Macrozoobenthos,0
Chai,1998/7/23,Macrozoobenthos,0
Chai,1998/8/23,Macrozoobenthos,1.976666667
Chai,1998/9/27,Macrozoobenthos,2.126666667
Chai,1998/10/30,Macrozoobenthos,2.043333333
Chai,1998/11/26,Macrozoobenthos,1.99
Chai,1998/12/18,Macrozoobenthos,0
Chai,1999/1/30,Macrozoobenthos,2.046666667
Chai,1999/2/18,Macrozoobenthos,2.113333333
Chai,1999/3/17,Macrozoobenthos,1.903333333
Chai,1999/4/22,Macrozoobenthos,2.01
Chai,1999/5/20,Macrozoobenthos,2
Chai,1999/6/19,Macrozoobenthos,2.076666667
Chai,1999/7/22,Macrozoobenthos,2.076666667
Chai,1999/8/28,Macrozoobenthos,2.126666667
Chai,1999/9/16,Macrozoobenthos,2.163333333
Chai,1999/10/21,Macrozoobenthos,2.08
Chai,1999/11/18,Macrozoobenthos,2.126666667
Chai,1999/12/9,Macrozoobenthos,2.113333333
Chai,2000/1/14,Macrozoobenthos,2.1
Chai,2000/2/18,Macrozoobenthos,2.146666667
Chai,2000/3/18,Macrozoobenthos,2.043333333
Chai,2000/4/28,Macrozoobenthos,1.96
Chai,2000/5/19,Macrozoobenthos,2.116666667
Chai,2000/6/28,Macrozoobenthos,2.07
Chai,2000/7/21,Macrozoobenthos,1.96
Chai,2000/8/26,Macrozoobenthos,2.026666667
Chai,2000/9/23,Macrozoobenthos,1.733333333
Chai,2000/10/16,Macrozoobenthos,2.02
Chai,2000/11/18,Macrozoobenthos,2.03
Chai,2000/12/3,Macrozoobenthos,2.016666667
Chai,2001/1/16,Macrozoobenthos,2.026666667
Chai,2001/2/17,Macrozoobenthos,2.223333333
Chai,2001/3/31,Macrozoobenthos,1.98
Chai,2001/5/27,Macrozoobenthos,2.063333333
Chai,2001/6/19,Macrozoobenthos,2.1
Chai,2001/7/7,Macrozoobenthos,2.2
Chai,2001/8/26,Macrozoobenthos,2.07
Chai,2001/9/22,Macrozoobenthos,2.016666667
Chai,2003/1/17,Macrozoobenthos,2.066666667
Chai,2003/1/29,Macrozoobenthos,2.426666667
Chai,2003/2/3,Macrozoobenthos,2.043333333
Chai,2003/2/28,Macrozoobenthos,2.163333333
Chai,2003/3/19,Macrozoobenthos,1.803333333
Chai,2003/4/20,Macrozoobenthos,1.633333333
Chai,2003/5/18,Macrozoobenthos,2.133333333
Chai,2003/6/21,Macrozoobenthos,1.88
Chai,2003/7/6,Macrozoobenthos,8.07
Chai,2003/8/16,Macrozoobenthos,2.053333333
Chai,2003/11/19,Macrozoobenthos,2.096666667
Chai,2003/12/14,Macrozoobenthos,2.356666667
Chai,2004/1/22,Macrozoobenthos,2.013666667
Chai,2004/2/13,Macrozoobenthos,2.056666667
Chai,2004/3/12,Macrozoobenthos,1.956666667
Chai,2004/4/12,Macrozoobenthos,2.136
Chai,2004/5/16,Macrozoobenthos,1.926666667
Chai,2004/11/21,Macrozoobenthos,2.043333333
Chai,2005/1/27,Macrozoobenthos,2.04
Chai,2005/2/21,Macrozoobenthos,2.02
Chai,2005/3/17,Macrozoobenthos,1.913333333
Chai,2005/4/11,Macrozoobenthos,1.86
Chai,2005/5/16,Macrozoobenthos,2.03
Chai,2005/6/13,Macrozoobenthos,2.042666667
Chai,2005/7/23,Macrozoobenthos,2.103333333
Chai,2005/8/18,Macrozoobenthos,2.083333333
Chai,2005/10/10,Macrozoobenthos,2.343333333
Chai,2005/11/19,Macrozoobenthos,1.956666667
Chai,2006/2/28,Macrozoobenthos,2.016333333
Chai,2006/3/17,Macrozoobenthos,2.066666667
Chai,2006/4/23,Macrozoobenthos,2.281
Chai,2006/5/25,Macrozoobenthos,1.96
Chai,2006/6/18,Macrozoobenthos,2.01
Chai,2006/7/9,Macrozoobenthos,1.796666667
Chai,2006/8/18,Macrozoobenthos,1.956666667
Chai,2006/10/8,Macrozoobenthos,2.23
Chai,2006/11/15,Macrozoobenthos,2.163333333
Chai,2006/12/10,Macrozoobenthos,2.1
Chai,2007/1/18,Macrozoobenthos,2.1
Chai,2007/1/27,Macrozoobenthos,1.91
Chai,2007/2/16,Macrozoobenthos,2.146666667
Chai,2007/3/23,Macrozoobenthos,2.126666667
Chai,2007/4/12,Macrozoobenthos,1.95
Chai,2013/5/19,Macrozoobenthos,1.96
Chai,2013/5/31,Macrozoobenthos,2.01
Chai,2013/8/31,Macrozoobenthos,2.213333333
Chai,2013/9/28,Macrozoobenthos,2.131666667
Decha,2011/4/15,Macrozoobenthos,2.26
